POSIX,source,app,x_x0,y_y0,t_t0
1503780365,88,2,0.01724508676113,-0.0582898242495293,1
1503780658,80,2,-0.0262816365606534,0.113119298995213,1
1503824015,129,2,-0.0486412221941457,0.0761020894055422,1
1503826557,29,2,-0.0725157740389595,0.199520933818954,0
1503836308,94,2,-0.0483548270801611,0.102574441918712,0
1503836367,120,2,0.0689365894780498,0.104298827633284,2
1503836707,27,2,-0.0940791427154818,-0.0114667531097501,0
1503842804,154,2,0.18125095590928,0.132898650111146,1
1503845192,146,2,-0.0515172727657248,-0.0751636651432454,1
1503910904,7,2,-0.066277801948642,-0.0267278371249584,0
1503933904,151,2,0.0969840919583853,-0.100705900674378,0
1503934348,93,2,0.101855364993022,-0.0929558006330171,1
1503935813,145,2,0.199288032791588,0.0594699001978335,0
1503936531,65,2,-0.0519383435074917,-0.0652040409445352,0
1503936570,73,2,0.23503121866908,0.0933245894965073,0
1503937333,64,2,0.144955998353945,0.0866376401015076,0
1503938592,45,2,0.0165273862586587,-0.105138123480536,3
1503939792,132,2,-0.105460713499014,-0.103818572470214,1
1503940030,104,2,-0.0519171126368852,0.118505254102937,0
1503941180,64,2,-0.0988014329612223,0.118689940531993,0
1503942194,87,2,-0.148928733167032,-0.152198188436803,0
1503944399,78,2,-0.0822502303130053,0.211376800432808,0
1503949596,55,2,0.00829934139161774,0.0618802545025589,0
1503951646,10,2,0.0329806863750295,-0.124427512226532,0
1503951785,142,2,0.108160574761055,0.0560507902475653,0
1503952758,49,2,0.177989966578583,-0.146661898782994,0
1503953713,44,2,0.0185417264062786,-0.0412494261455698,0
1503998326,86,2,-0.0460028820026896,0.00429656291554673,0
1503999239,66,2,0.0150596885809799,-0.183752672108972,0
1504000493,143,2,0.0817418630586307,-0.00413590667125171,1
1504001790,29,2,0.0135301546589595,0.235218253339127,1
1504001999,64,2,0.0140666415878879,-0.0318309857258213,0
1504002582,109,2,0.00556505986866257,-0.0824107329726175,2
1504005774,78,2,0.00296772365295486,0.0344466264040035,0
1504008770,111,2,-0.135162864270465,-0.0413623587730138,0
1504012740,37,2,0.0409264659556541,-0.0867336014332903,0
1504013521,129,2,0.0144660709755571,0.0478182892117037,0
1504016694,109,2,0.0770489022026635,-0.174676314785945,0
1504017816,96,2,0.0554399478498927,-0.0203897714345986,0
1504019310,97,2,0.0975668752880789,0.0918662675894081,0
1504023978,54,2,0.18444037294717,0.0214457152918138,1
1504024157,76,2,0.0307776989405026,0.018584971600935,2
1504024498,74,2,0.0550349834091571,-0.0856143617252156,0
1504024547,27,2,-0.0982298349312359,-0.0495698678361955,0
1504025858,116,2,-0.0118730799742401,0.108300686365305,1
1504026770,98,2,-0.0356222579243188,0.0448595118192556,0
1504028549,3,2,-0.0209281106999858,0.0484148153561178,0
